time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,place,type,horizontalError,depthError,magError,magNst
2024-08-21T16:52:25.115Z,34.2324,74.1045,10,3.6,mb,14,206,0.905,1.1,"17 km NNE of Uri, India",earthquake,7.88,2.021,0.352,2
2024-08-20T01:22:26.354Z,34.1873,74.2881,13.738,4.5,mwr,97,42,1.003,0.54,"5 km WSW of Bāramūla, India",earthquake,7.13,3.315,0.063,24
2024-08-20T01:15:55.090Z,34.1613,74.2677,14.076,5.1,mb,112,33,0.975,0.64,"8 km SW of Bāramūla, India",earthquake,6.04,1.842,0.039,209
2024-08-09T04:23:35.025Z,31.6473,76.9775,10,3.6,mb,9,187,3.712,0.75,"7 km WSW of Pāndoh, India",earthquake,9.75,2.002,0.353,2
2024-08-09T01:27:10.980Z,27.1586,88.1937,35,4.5,mb,68,77,2.667,0.88,"5 km NW of Naya Bāzār, India",earthquake,8.52,1.557,0.053,108
2024-07-20T12:04:59.754Z,33.456,76.6373,43.578,4.1,mb,25,144,2.82,0.31,"23 km W of Padam, India",earthquake,10.65,8.969,0.15,12
2024-07-12T06:56:22.699Z,34.1455,74.3501,13.68,4.4,mb,31,122,1.026,0.79,"7 km S of Bāramūla, India",earthquake,9.78,5.402,0.095,32
2024-07-10T01:44:52.060Z,19.4402,77.2915,10,4.4,mb,46,144,11.079,0.59,"18 km NE of Basmat, India",earthquake,10.94,1.891,0.102,28
2024-06-08T18:17:19.165Z,27.8429,75.3219,10.714,4,mb,12,184,6.052,1.1,"4 km ESE of Nawalgarh, India",earthquake,12.82,5.448,0.164,10
2024-04-18T15:22:37.399Z,33.1489,76.8257,45.414,4.3,mb,36,57,3.017,0.75,"35 km S of Padam, India",earthquake,6.98,7.564,0.122,19
2024-04-10T18:45:49.997Z,10.0467,72.9404,10,4.6,mb,29,74,3.261,0.7,"66 km SSE of Kavaratti, India",earthquake,10.45,1.897,0.141,15
2024-04-06T09:23:21.002Z,33.1643,76.8223,10,4.4,mb,40,152,3.012,0.57,"34 km S of Padam, India",earthquake,8.95,1.896,0.1,29
2024-04-05T11:50:44.688Z,33.2454,76.9224,28.17,4.2,mb,25,150,3.081,0.39,"24 km S of Padam, India",earthquake,8.42,6.591,0.158,11
2024-04-04T16:04:32.601Z,33.1698,76.816,32.436,5,mww,88,53,3.005,0.78,"33 km S of Padam, India",earthquake,4.56,4.205,0.078,16
2024-03-21T00:38:31.223Z,19.4899,77.2545,10,4.6,mb,68,75,11.064,0.52,"20 km NNE of Basmat, India",earthquake,6.69,1.784,0.075,53
2024-02-22T17:05:55.410Z,33.1787,76.8103,10,4.3,mb,51,113,2.999,0.57,"32 km SSW of Padam, India",earthquake,4.32,1.902,0.099,29
2024-02-20T01:05:59.441Z,33.1565,76.8759,10,4.3,mb,49,96,3.057,0.47,"34 km S of Padam, India",earthquake,6.15,1.858,0.095,31
2024-01-16T03:23:53.611Z,33.1245,76.7306,10,4.1,mb,25,135,2.943,0.61,"40 km SSW of Padam, India",earthquake,7.79,1.86,0.145,13
2024-01-03T19:08:16.618Z,33.2551,76.7872,17.945,4.5,mb,58,96,2.968,0.73,"25 km SSW of Padam, India",earthquake,7.49,4.138,0.097,31
2023-12-25T23:03:56.507Z,34.7111,76.7782,34.705,4.6,mb,100,79,3.096,0.4,"24 km S of Thang, India",earthquake,5.88,5.172,0.059,85
