latitude,longitude,altitude,building_age,population_density_x,wind_speed,wind_direction,river_water_level,river_discharge,drainage_system,elevation,slope,population_density_y,safe_camp_earthquake,safe_camp_flood
8.3322,77.0758,midland (50m),new (<20 years),low,10.4,N,3.4,215.0,poor,42.88523384,8.647158552,low,1,1
8.3396,77.0599,midland (50m),new (<20 years),low,8.7,NW,3.2,208.4,poor,61.69872832,6.251724601,low,1,1
8.342,77.1615,lowland (10m),new (<20 years),low,1.9,E,7.2,223.6,moderate,58.45731994,13.52887864,high,1,1
8.3424,77.0757,highland (150m),new (<20 years),low,11.2,NE,2.6,311.3,moderate,56.01994358,7.529280415,high,1,1
8.3473,77.1482,lowland (10m),new (<20 years),low,14.0,N,1.5,348.3,poor,47.45922427,5.224971801,low,1,1
8.3587,77.1376,lowland (10m),new (<20 years),low,13.2,E,9.5,435.7,moderate,51.01826134,14.11983494,high,1,1
8.361,77.0168,highland (150m),new (<20 years),low,5.2,SW,3.1,163.6,moderate,29.64601528,7.372150434,medium,1,1
8.3676,77.1121,midland (50m),new (<20 years),low,2.3,S,4.9,32.4,poor,34.36822162,10.45914699,high,1,1
8.3694,77.1174,midland (50m),new (<20 years),low,4.7,NW,8.2,259.0,good,25.151808,0.30397523,low,1,1
8.3757,77.047,lowland (10m),new (<20 years),low,3.3,SW,0.5,395.5,moderate,16.21554776,5.518971244,low,1,1
8.3824,77.047,midland (50m),new (<20 years),low,9.4,N,2.0,58.3,good,35.02327356,5.41899821,high,1,1
8.3986,77.0769,highland (150m),new (<20 years),low,6.4,NE,2.8,147.1,moderate,61.50099944,8.746316591,low,1,1
8.4056,77.0741,lowland (10m),new (<20 years),low,10.3,E,7.2,493.0,poor,56.4382174,9.311104878,high,1,1
8.4122,77.0627,highland (150m),new (<20 years),low,9.9,E,0.1,284.7,good,6.190473759,8.203407613,low,1,1
8.4239,77.0479,midland (50m),new (<20 years),low,14.5,SE,2.3,350.4,good,16.25368506,9.68862211,low,1,1
8.4257,77.0479,highland (150m),new (<20 years),low,0.2,S,7.1,465.0,moderate,67.67784637,0.66568233,high,1,1
8.4284,77.0396,highland (150m),new (<20 years),low,12.0,SE,9.3,453.0,moderate,51.29659368,5.223817855,medium,1,1
8.4352,77.0252,lowland (10m),new (<20 years),low,12.8,NW,2.8,139.7,moderate,11.46294044,10.57665493,medium,1,1
8.4366,77.0258,lowland (10m),new (<20 years),low,3.4,E,7.9,19.0,poor,32.95343329,6.681808207,high,1,1
8.4384,77.0224,highland (150m),new (<20 years),low,6.3,E,4.0,413.5,moderate,82.11615653,10.15063087,high,1,1
8.4406,77.0217,lowland (10m),new (<20 years),low,9.2,NW,2.3,84.0,moderate,81.16184735,4.973441754,low,1,1
8.4778,77.0755,lowland (10m),new (<20 years),low,3.6,W,7.5,173.6,poor,33.98147436,8.935104666,low,1,1
8.4837,77.108,lowland (10m),new (<20 years),low,10.1,S,3.8,341.5,poor,85.91332474,6.36435285,high,1,1
8.4844,76.9999,highland (150m),new (<20 years),low,7.1,E,8.4,54.3,poor,46.19906627,7.61761176,medium,1,1
8.4933,77.0001,highland (150m),new (<20 years),low,6.3,NW,2.0,213.5,good,67.25139057,11.46452609,low,1,1
8.4998,77.0658,highland (150m),new (<20 years),low,1.5,NE,1.4,70.6,poor,81.57032541,1.542707853,medium,1,1
8.5017,77.0699,lowland (10m),new (<20 years),low,9.3,SW,7.8,41.6,good,19.76515215,11.38909486,medium,1,1
8.5021,77.0477,midland (50m),new (<20 years),low,7.5,NE,9.0,213.7,poor,88.26128004,14.49350097,low,1,1
8.5025,77.0698,lowland (10m),new (<20 years),low,2.3,N,5.5,309.9,moderate,70.05871949,3.543542393,medium,1,1
8.5634,77.0549,lowland (10m),new (<20 years),low,2.9,SE,8.3,495.9,poor,89.00531314,3.784852324,low,1,1
0,0,midland (50m),new (<20 years),medium,10.0,NE,2.0,50.0,efficient,60.0,10.0,low,1,1
