latitude,longitude,altitude,building_age,population_density_x,wind_speed,wind_direction,river_water_level,river_discharge,drainage_system,elevation,slope,population_density_y,safe_camp_earthquake,safe_camp_flood
8.2988,77.0903,midland (50m),old (20-50 years),high,8.8,W,3.1,329.0,poor,70.4914801,13.62218896,high,0,0
8.2992,77.089,highland (150m),new (<20 years),high,3.0,S,8.2,348.5,poor,72.94952976,40.38794401,low,0,0
8.2993,77.089,midland (50m),new (<20 years),medium,3.7,SW,6.3,404.3,poor,97.95706089,32.24957284,high,0,0
8.2994,77.0888,highland (150m),old (20-50 years),medium,10.7,NW,2.3,385.4,moderate,61.93265527,16.04853604,medium,0,0
8.2998,77.0884,highland (150m),new (<20 years),medium,6.2,E,1.0,420.8,moderate,76.56467605,19.07177211,medium,0,0
8.2999,77.0882,lowland (10m),old (20-50 years),medium,10.3,NW,8.3,20.4,poor,23.30694466,24.74908332,medium,0,0
8.2999,77.0896,midland (50m),new (<20 years),high,7.0,NE,4.4,326.2,poor,82.83869971,23.61651341,medium,0,0
8.2999,77.0896,midland (50m),new (<20 years),high,7.0,NE,4.4,326.2,moderate,82.83869971,23.61651341,high,0,0
8.2999,77.0896,midland (50m),new (<20 years),medium,0.9,NE,3.6,463.6,poor,63.01913271,22.6671671,medium,0,0
8.2999,77.0896,midland (50m),new (<20 years),medium,0.9,NE,3.6,463.6,moderate,63.01913271,22.6671671,high,0,0
8.3,77.0878,midland (50m),old (20-50 years),low,12.2,E,8.6,255.0,poor,48.2288839,44.02108179,low,0,0
8.3001,77.0881,highland (150m),old (20-50 years),high,4.2,S,8.8,162.6,moderate,27.1250829,11.04150363,medium,0,0
8.3004,77.0881,highland (150m),old (20-50 years),high,3.6,NW,10.0,227.8,poor,76.94720348,42.95858294,low,0,0
8.3004,77.0883,highland (150m),old (20-50 years),low,14.2,NE,4.4,4.9,good,10.32954302,17.23175163,low,0,0
8.3004,77.0893,midland (50m),old (20-50 years),low,14.8,E,3.0,188.4,moderate,17.78130656,2.337064517,medium,0,0
8.3005,77.0883,highland (150m),new (<20 years),medium,11.5,W,1.0,163.9,good,60.00882236,25.45906402,high,0,0
8.3008,77.0881,highland (150m),new (<20 years),high,5.5,NW,9.9,352.7,poor,82.36416457,18.57527272,medium,0,0
8.3008,77.0882,highland (150m),old (20-50 years),high,0.6,N,9.7,182.0,moderate,22.10692117,21.50349206,medium,0,0
8.3008,77.089,midland (50m),old (20-50 years),low,14.7,N,9.6,376.1,moderate,84.38402709,11.79552286,medium,0,0
8.301,77.0901,lowland (10m),old (20-50 years),low,6.4,SW,6.9,142.2,poor,32.84323808,10.88841933,low,0,0
8.3013,77.087,lowland (10m),new (<20 years),medium,7.9,NE,6.5,173.3,moderate,23.90112682,23.72562885,low,0,0
8.3014,77.0902,lowland (10m),old (20-50 years),high,7.4,W,0.6,243.9,moderate,53.20333808,13.02379282,medium,0,0
8.3015,77.0867,midland (50m),new (<20 years),high,10.4,S,4.7,13.1,good,8.59556756,30.73137509,medium,0,0
8.3016,77.0901,midland (50m),old (20-50 years),low,3.1,SW,1.0,475.5,good,58.25607034,8.853293663,high,0,0
8.3017,77.0872,highland (150m),old (20-50 years),high,7.4,N,0.5,340.7,poor,21.0205332,36.34689345,high,0,0
8.3025,77.087,midland (50m),old (20-50 years),medium,4.2,SW,5.9,308.3,moderate,69.89941193,12.9065256,high,0,0
8.3025,77.0897,highland (150m),new (<20 years),medium,12.2,E,8.9,446.9,poor,55.07803257,30.84876679,medium,0,0
8.3028,77.0901,lowland (10m),new (<20 years),low,7.6,NE,6.0,484.8,poor,95.18696405,43.16239667,medium,0,0
8.3028,77.0901,lowland (10m),new (<20 years),low,7.6,NE,6.0,484.8,good,95.18696405,43.16239667,low,0,0
8.3028,77.0901,midland (50m),new (<20 years),high,7.5,W,6.8,237.3,poor,38.57073372,15.99559552,medium,0,0
8.3028,77.0901,midland (50m),new (<20 years),high,7.5,W,6.8,237.3,good,38.57073372,15.99559552,low,0,0
8.303,77.09,lowland (10m),new (<20 years),medium,12.4,NW,1.7,38.6,moderate,95.97733085,27.10421688,low,0,0
8.3056,77.0869,highland (150m),new (<20 years),medium,6.0,NW,3.1,320.1,good,58.58277258,21.12462668,low,0,0
8.306,77.084,highland (150m),old (20-50 years),medium,1.6,SE,2.3,204.7,poor,87.20826296,34.19212445,high,0,0
8.3061,77.086,lowland (10m),old (20-50 years),medium,8.6,S,3.7,396.1,good,26.80108428,29.25775465,low,0,0
8.3064,77.0859,midland (50m),old (20-50 years),high,12.3,NW,3.7,304.5,poor,40.24775714,15.82460715,high,0,0
8.309,77.1077,lowland (10m),old (20-50 years),high,8.1,SE,6.9,417.1,poor,25.95082043,18.82094515,high,0,0
8.3092,77.1124,lowland (10m),old (20-50 years),low,1.2,S,3.0,458.3,poor,89.0264251,0.322067921,medium,0,0
8.3093,77.1122,highland (150m),new (<20 years),high,6.1,NW,0.8,260.9,moderate,30.0241513,8.168506589,low,0,0
8.3094,77.1121,highland (150m),old (20-50 years),medium,11.3,E,6.2,39.8,moderate,80.93158864,29.8572144,medium,0,0
8.312,77.1082,midland (50m),new (<20 years),high,7.7,N,5.3,194.4,good,74.98842488,25.03436987,low,0,0
8.3121,77.1073,midland (50m),old (20-50 years),medium,0.5,SW,1.6,69.8,moderate,7.976075262,11.2545052,high,0,0
8.3123,77.1073,highland (150m),old (20-50 years),high,7.1,N,7.9,48.6,poor,45.84348655,16.33197899,low,0,0
8.3128,77.1069,highland (150m),old (20-50 years),medium,3.4,SE,1.7,494.7,good,63.45502549,7.991100183,medium,0,0
8.3132,77.1091,highland (150m),new (<20 years),high,5.8,E,1.8,42.6,poor,95.3964594,44.56828496,low,0,0
8.3138,77.1084,lowland (10m),old (20-50 years),high,5.6,NW,2.8,268.1,poor,82.39250764,12.38938945,high,0,0
8.314,77.0881,midland (50m),old (20-50 years),high,12.9,S,8.4,194.6,good,86.52407246,11.75503986,high,0,0
8.3145,77.0888,highland (150m),new (<20 years),medium,13.0,E,9.7,2.2,good,68.2194831,42.05342575,high,0,0
8.3148,77.0712,lowland (10m),new (<20 years),low,0.8,W,2.1,270.2,poor,31.47202188,30.12030883,low,0,0
8.3148,77.0885,midland (50m),new (<20 years),medium,4.7,SW,8.1,60.0,poor,90.47137571,22.09574285,medium,0,0
8.3149,77.0885,midland (50m),old (20-50 years),high,3.1,N,9.1,86.0,poor,89.40881639,5.964203222,low,0,0
8.3158,77.0679,highland (150m),old (20-50 years),high,9.9,SW,6.0,228.9,moderate,9.126651251,11.91214662,low,0,0
8.3158,77.0702,midland (50m),old (20-50 years),high,2.2,SE,2.3,98.0,moderate,28.05844187,43.42341707,low,0,0
8.316,77.0707,lowland (10m),old (20-50 years),low,10.7,S,8.2,432.2,good,42.96734345,8.169177406,medium,0,0
8.3161,77.0891,lowland (10m),old (20-50 years),high,2.4,S,3.5,349.5,good,21.16609879,24.4860498,low,0,0
8.3161,77.1088,lowland (10m),new (<20 years),high,9.7,SW,1.5,319.5,moderate,43.06044851,15.89925277,high,0,0
8.3165,77.0704,midland (50m),old (20-50 years),high,1.1,NW,8.1,122.4,good,91.04706145,1.418576893,high,0,0
8.3167,77.0854,highland (150m),new (<20 years),medium,2.1,SW,7.0,4.5,good,20.02986612,12.18103598,low,0,0
8.3174,77.0689,lowland (10m),new (<20 years),high,6.5,W,4.5,118.1,poor,65.95789255,0.675158234,medium,0,0
8.3175,77.0687,highland (150m),old (20-50 years),medium,5.6,NW,4.1,63.9,good,78.38766868,11.2035383,low,0,0
8.3176,77.0868,lowland (10m),old (20-50 years),low,0.4,N,3.4,464.7,good,66.27318324,31.49127842,low,0,0
8.3177,77.0686,highland (150m),new (<20 years),low,5.3,E,3.9,40.6,moderate,20.48210957,7.535712905,low,1,0
8.318,77.0684,highland (150m),old (20-50 years),medium,11.2,NE,4.6,191.0,moderate,10.2528443,22.33363902,high,0,0
8.3188,77.0703,lowland (10m),new (<20 years),medium,8.0,W,2.3,387.1,moderate,40.24495835,18.05144107,low,0,0
8.319,77.0701,midland (50m),old (20-50 years),medium,6.4,NW,8.0,365.0,good,93.4964004,12.78790903,low,0,0
8.319,77.0865,highland (150m),old (20-50 years),low,14.4,W,8.0,314.9,moderate,34.86220311,37.33062422,high,0,0
8.3193,77.0709,midland (50m),old (20-50 years),low,7.0,NE,0.2,468.3,moderate,58.22559849,8.946760603,medium,0,0
8.3194,77.0873,highland (150m),new (<20 years),low,12.6,NW,7.7,227.9,poor,40.67851455,19.63117843,high,0,0
8.3196,77.0698,midland (50m),new (<20 years),low,10.4,NE,3.2,277.5,moderate,89.73365782,2.598885942,high,1,0
8.3199,77.0624,lowland (10m),new (<20 years),high,6.4,S,2.7,183.6,good,99.54766824,29.60205285,low,0,0
8.3199,77.0724,midland (50m),new (<20 years),high,11.3,W,2.2,138.3,poor,54.80467572,13.7168145,medium,0,0
8.32,77.0621,midland (50m),new (<20 years),low,8.0,NW,8.2,63.8,poor,29.39348746,36.75860885,high,0,0
8.32,77.0623,lowland (10m),old (20-50 years),low,6.8,NW,2.1,354.7,good,32.26508509,42.24720575,high,0,0
8.32,77.1101,lowland (10m),old (20-50 years),low,7.5,SW,4.5,336.8,poor,52.1924865,27.50750736,low,0,0
8.3201,77.1103,highland (150m),old (20-50 years),medium,3.6,E,2.7,377.5,good,61.62090408,4.959698,medium,0,0
8.3202,77.062,highland (150m),new (<20 years),high,1.3,NW,4.6,409.8,good,30.52154549,3.198201482,low,0,0
8.3209,77.0616,lowland (10m),new (<20 years),low,6.3,NE,6.8,35.9,good,99.74923512,32.51242308,high,0,0
8.3209,77.0617,highland (150m),old (20-50 years),high,8.6,E,5.2,302.3,poor,30.6879638,14.39634439,high,0,0
8.3211,77.0609,midland (50m),new (<20 years),medium,12.0,W,7.9,27.3,poor,79.30091346,29.12172208,medium,0,0
8.3225,77.0726,lowland (10m),new (<20 years),high,1.3,S,9.0,378.0,good,6.95577918,0.453960442,medium,0,0
8.3236,77.0735,highland (150m),old (20-50 years),low,3.5,SE,6.1,332.0,poor,95.11230313,31.33380428,low,0,0
8.3237,77.0699,lowland (10m),new (<20 years),high,0.1,NW,5.8,498.1,moderate,36.40648762,5.313819218,medium,0,0
8.3239,77.0609,lowland (10m),new (<20 years),low,10.7,NW,5.9,419.0,good,87.22638002,40.47759879,high,0,0
8.3252,77.0562,lowland (10m),new (<20 years),medium,4.5,SE,3.1,53.8,moderate,8.323581818,30.76452264,medium,0,0
8.3259,77.1288,midland (50m),old (20-50 years),low,6.6,NW,8.3,121.6,poor,72.52756113,35.87023379,low,0,0
8.3269,77.1013,midland (50m),new (<20 years),medium,1.4,S,8.5,204.2,poor,65.37241519,9.429077832,medium,0,0
8.327,77.127,highland (150m),new (<20 years),medium,6.3,W,5.4,45.4,poor,17.47613475,37.98818685,low,0,0
8.3272,77.0551,lowland (10m),old (20-50 years),high,13.4,E,7.2,158.4,moderate,83.21566713,0.545676591,medium,0,0
8.3277,77.0966,lowland (10m),new (<20 years),medium,9.7,NW,2.4,449.0,poor,46.51577573,38.19019398,high,0,0
